razon_social,propietario,nombre_planta,operador,direccion,localidad,departamento,provincia,geojson,geom
GAS TRELEW S.A.,30611354157,PARQUE INDUSTRIAL TRELEW,GAS TRELEW S.A.|GAS ARECO S.A.C.I.|,PARQUE INDUSTRIAL N/KM ,TRELEW,RAWSON,CHUBUT,"{""type"":""Point"",""coordinates"":[-65.345365,-43.258998]}",0101000020E6100000B70BCD751A5650C05DDDB1D826A145C0
GIAC GAS S.A.,30575697921,VERGARA Y MOSCONI,GIAC GAS S.A.|,VERGARA Y MOSCONI  N/KM ,ENSENADA,ENSENADA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-57.917331,-34.876188]}",0101000020E6100000B14D2A1A6BF54CC0E692AAED267041C0
HUEGAS S.A.,30647103010,PARQUE INDUSTRIAL NEUQUEN,HUEGAS S.A.|,PARQUE INDUSTRIAL N/KM ,NEUQUEN,CONFLUENCIA,NEUQUÉN,"{""type"":""Point"",""coordinates"":[-68.094477,-38.906739]}",0101000020E6100000594E42E90B0651C0FE800706107443C0
ITALGAS S.A.,30680922345,RUTA PROVINCIAL N 200 KM 70 (PARQUE INDUSTRIAL),TOTAL ESPECIALIDADES ARGENTINA S.A.|ITALGAS S.A.|,RUTA PROVINCIAL Nº 200 N/KM 70,GENERAL LAS HERAS,GENERAL LAS HERAS,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.986108,-34.9286]}",0101000020E6100000782975C9387E4DC06688635DDC7641C0
ITALGAS S.A.,30680922345,TUCUMAN,ITALGAS S.A.|,J.AMAYA ESQ. RUTA 301 - EX 38  N/KM ,SAN MIGUEL DE TUCUMAN,CAPITAL,TUCUMAN,"{""type"":""Point"",""coordinates"":[-65.339068,-26.936411]}",0101000020E6100000B0C7444AB35550C05A9D9CA1B8EF3AC0
ITALGAS S.A.,30680922345,RUTA NACIONAL N 12 KM 7,ITALGAS S.A.|,RUTA NACIONAL 12 N/KM 7,CORRIENTES,CAPITAL,CORRIENTES,"{""type"":""Point"",""coordinates"":[-58.743723,-27.444323]}",0101000020E61000003A24B550325F4DC051DCF126BF713BC0
ITALGAS S.A.,30680922345,AVDA 25 DE MAYO CIRCUNVALACION 4250,ITALGAS S.A.|,AVENIDA CIRCUNVALACION N/KM 4250,ROSARIO,ROSARIO,SANTA FE,"{""type"":""Point"",""coordinates"":[-60.713148,-32.979463]}",0101000020E6100000999A046F485B4EC02F52280B5F7D40C0
LAS VARILLAS GAS SACI,30543024429,CONDIE 1807,LAS VARILLAS GAS SACI|,TELOMIAN CONDIE CACIQUE N/KM 1807,9 DE ABRIL,ESTEBAN ECHEVERRIA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.494301,-34.739325]}",0101000020E6100000A7B05241453F4DC0BF0E9C33A25E41C0
LAS VARILLAS GAS SACI,30543024429,"ARTURO CAPDEVILA 13,5",LAS VARILLAS GAS SACI|,AV. CAPDEVILLA N/KM 13.5,EL QUEBRACHAL,CAPITAL,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-64.079462,-31.335883]}",0101000020E610000096D1C8E7150550C04948A46DFC553FC0
MOLLE GAS S.R.L.,33669391809,RUTA NACIONAL 158 KM 101.2,MOLLE GAS S.R.L.|,158 ESTE ESTE N/KM 101.2,POZO DEL MOLLE,RIO SEGUNDO,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-62.910099,-32.012984]}",0101000020E6100000A88FC01F7E744FC086AFAF75A90140C0
OESTE GAS S.A.,30689247489,RUTA PROVINCIAL N 50 (EX RUTA 7 ) KM 1051 F.L. BELTRAN,OESTE GAS S.A.|,RUTA PROVINCIAL 50 N/KM (EX-RUTA 7) 1051,FRAY LUIS BELTRAN,MAIPU,MENDOZA,"{""type"":""Point"",""coordinates"":[-68.629108,-33.017105]}",0101000020E6100000BA69334E432851C08ECC237F308240C0
ONDA GAS S.A.,30685753282,"RUTA NICOLAS AVELLANEDA KM 13,355",TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|ONDA GAS S.A.|,RUTA NICOLAS AVELLANEDA N/KM 13.355,RESISTENCIA,SAN FERNANDO,CHACO,"{""type"":""Point"",""coordinates"":[-58.963093,-27.418293]}",0101000020E6100000D600A5A1467B4DC04E250340156B3BC0
YPF GAS S.A.,30515488479,BAHIA BLANCA,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,RUTA PROVINCIAL Nº 229 N/KM 18.5,BAHIA BLANCA,BAHIA BLANCA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-62.11083,-38.80937]}",0101000020E610000035B56CAD2F0E4FC0882EA86F996743C0
YPF GAS S.A.,30515488479,BELGRANO,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,CROVARA INTE E J N/KM 5299,SAN JUSTO,LA MATANZA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.54743,-34.7042]}",0101000020E6100000B56CAD2F12464DC0EEEBC039235A41C0
YPF GAS S.A.,30515488479,JUNIN,YPF GAS S.A.|,DEL VALLE IBARLUCEA SEC 5TA.  N/KM ,JUNIN,JUNIN,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-60.98741,-34.59034]}",0101000020E610000026DF6C73637E4EC0A4C2D842904B41C0
