razon_social,propietario,nombre_planta,operador,direccion,localidad,departamento,provincia,geojson,geom
"COOPERATIVA DE COOPERATIVAS DE GAS, SERVICIOS PUBLICOS Y VIVIENDAS DE MISIONES LTDA.",30637311855,"COOP. DE COOP. DE GAS, S.P, Y V.M. LTDA. (MISCOOPGAS)","COOPERATIVA DE COOPERATIVAS DE GAS, SERVICIOS PUBLICOS Y VIVIENDAS DE MISIONES LTDA. |",RUTA NACIONAL 12 N/KM 1467,MBOPICUA,LIBERTADOR GRAL SAN MARTIN,MISIONES,"{""type"":""Point"",""coordinates"":[-55.0485599102452,-26.8639660581305]}",0101000020E61000002E330D3637864BC048862CE12CDD3AC0
YPF GAS S.A.,30515488479,MAR DEL PLATA,YPF GAS S.A.|,RUTA PROVINCIAL 88 N/KM 5.5,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-57.63056,-38.010253]}",0101000020E61000003815A930B6D04CC0CBD765F84F0143C0
YPF GAS S.A.,30515488479,PLANTA BARILOCHE,YPF GAS S.A.|TOTAL ESPECIALIDADES ARGENTINA S.A.|,MOSCONI GENERAL ENRIQUE N/KM 706,BARILOCHE,BARILOCHE,RIO NEGRO,"{""type"":""Point"",""coordinates"":[-71.280596,-41.140649]}",0101000020E6100000DCD8EC48F5D151C0899B53C9009244C0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,SAN FRANCISCO,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,CALLE 1 N/KM 1451,FRONTERA,CASTELLANOS,SANTA FE,"{""type"":""Point"",""coordinates"":[-62.066434,-31.433103]}",0101000020E6100000D6ABC8E880084FC0ABCC94D6DF6E3FC0
REGION GAS SA,30713233508,MICROGAS EL QUEBRACHAL,REGIÓN GAS SA|,AV. CAPDEVILLA N/KM 12.5,EL QUEBRACHAL,CAPITAL,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-64.08177,-31.33806]}",0101000020E6100000D0F23CB83B0550C0F415A4198B563FC0
YPF GAS S.A.,30515488479,SALTA,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,PARQUE INDUSTRIAL N/KM ,GENERAL GUEMES,GENERAL MARTIN M GUEMES,SALTA,"{""type"":""Point"",""coordinates"":[-65.031161,-24.704259]}",0101000020E610000048FAB48AFE4150C0E6E95C514AB438C0
SARTINI GAS SRL,30597489974,PLANTA TOLHUIN,SARTINI GAS SRL|,PARCELA N/KM 158 FR SECCION T,TOLHUIN,RIO GRANDE,TIERRA DEL FUEGO,"{""type"":""Point"",""coordinates"":[-67.102776,-54.293889]}",0101000020E610000014B4C9E193C650C0BBD39D279E254BC0
CAÑUELAS GAS S.A.,30637182907,COLON - LA GRANJA,CAÑUELAS GAS S.A.|,RUTA NACIONAL 19 N/KM 19,MI GRANJA,COLON,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-63.968816,-31.357291]}",0101000020E6100000B7EBA52902FC4FC0B727486C775B3FC0
GAS ARECO S.A.C.I.,30517095121,CONCEPCION - ENTRE RIOS,GAS ARECO S.A.C.I.|,RUTA 14 N/KM KM 124.5,CONCEPCION DEL URUGUAY,URUGUAY,ENTRE RIOS,"{""type"":""Point"",""coordinates"":[-58.311958,-32.49096]}",0101000020E6100000DFDC5F3DEE274DC074D2FBC6D73E40C0
TOTAL ESPECIALIDADES ARGENTINA S.A.,30554496101,RESISTENCIA - CHACO,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,RUTA NICOLAS AVELLANEDA N/KM 11,RESISTENCIA,SAN FERNANDO,CHACO,"{""type"":""Point"",""coordinates"":[-58.94166,-27.4259]}",0101000020E6100000C6F99B5088784DC0CC5D4BC8076D3BC0
CAÑUELAS GAS S.A.,30637182907,PLANTA CRESPO,CAÑUELAS GAS S.A.|,RUTA 12 N/KM Y CAMINO VECINAL DEL MEDIO,CRESPO,PARANA,ENTRE RIOS,"{""type"":""Point"",""coordinates"":[-60.300576,-32.014059]}",0101000020E610000033FB3C4679264EC0749B70AFCC0140C0
ITALGAS S.A.,30680922345,ITALGAS PROCESADORA/FRACCIONADORA,ITALGAS S.A.|,RUTA PROVINCIAL Nº 200 N/KM 70,GENERAL LAS HERAS,GENERAL LAS HERAS,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.986108,-34.9286]}",0101000020E6100000782975C9387E4DC06688635DDC7641C0
