razon_social,propietario,nombre_boca,operador,direccion,localidad,departamento,provincia,geojson,geom
YPF SOCIEDAD ANONIMA,30546689979,REFINERIA MONTE CRISTO,YPF SOCIEDAD ANONIMA|REFINERÍA DEL NORTE SA|ENERGÍA ARGENTINA S.A.|,RUTA 88 N/KM 19,MONTE CRISTO,RIO PRIMERO,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-63.97298,-31.35392]}",0101000020E6100000BFD4CF9B8AFC4FC07B6649809A5A3FC0
YPF SOCIEDAD ANONIMA,30546689979,SAN SEBASTIAN,YPF SOCIEDAD ANONIMA|PETROLERA LF COMPANY SRL|PETROLERA TDF COMPANY SRL|,RUTA NACIONAL 3 N/KM 2769 Y CRUCE LOS CHORRILLOS (SAN SEBASTIAN-TDF),RIO GRANDE,RIO GRANDE,TIERRA DEL FUEGO,"{""type"":""Point"",""coordinates"":[-68.152796,-53.36312]}",0101000020E61000006ABDDF68C70951C0034356B77AAE4AC0
YSUR ENERGIA ARGENTINA SRL,30654521561,ESTACION FERNANDEZ ORO,YSUR ENERGÍA ARGENTINA S.R.L. |,RUTA 12 N/KM 1204 -FERNANDEZ ORO-,ALLEN,GENERAL ROCA,RIO NEGRO,"{""type"":""Point"",""coordinates"":[-67.87314,-39.00673]}",0101000020E610000016359886E1F750C077F35487DC8043C0
REFINERÍA DEL NORTE SA,30658233692,CAMPO DURAN,REFINERÍA DEL NORTE SA|,RUTA PROV 54 N/KM 7,AGUARAY,GENERAL JOSE DE SAN MARTIN,SALTA,"{""type"":""Point"",""coordinates"":[-63.664475,-22.204123]}",0101000020E61000003B014D840DD54FC0855CA967413436C0
PBB POLISUR SA,30560254195,PBB POLISUR,PBBPOLISUR SA|,SAN MARTIN N/KM 1881,BAHIA BLANCA,BAHIA BLANCA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-62.292047,-38.763858]}",0101000020E61000008CF2CCCB61254FC0DC645419C66143C0
PETROLERA ARGENTINA SA,30707673989,PETROLERA ARGENTINA - CUTRALCO,PETROLERA ARGENTINA S.A|GRANEL GAS SRL (LPG Y DERIVADOS SRL)|,PARQUE INDUSTRIAL N/KM ,PLAZA HUINCUL,CONFLUENCIA,NEUQUÉN,"{""type"":""Point"",""coordinates"":[-69.1505348682404,-38.9315310290302]}",0101000020E61000000300005DA24951C06C72A4683C7743C0
PETROQUIMICA CUYO S.A.I.C.,30583426406,PETROQUIMICA CUYO,PETROQUIMICA CUYO S.A.I.C.|,PARQUE INDUSTRIAL N/KM PETROQUIMICO,LUJAN DE CUYO,LUJAN DE CUYO,MENDOZA,"{""type"":""Point"",""coordinates"":[-68.98696,-33.070386]}",0101000020E6100000739D465A2A3F51C0520C9068028940C0
TRANSPORTADORA DE GAS DEL SUR S.A.,30657862068,COMPLEJOS CERRI - BAHIA BLANCA,"TRANSPORTADORA DEL GAS DEL SUR S.A.|YPF SOCIEDAD ANONIMA|PLUSPETROL S.A.|PAN AMERICAN SUR S.A.|PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA|TOTAL AUSTRAL SOCIEDAD ANONIMA (SUCURSAL ARGENTINA)|",RUTA NACIONAL 3 SUR N/KM 701 -COMPLEJO CERRI-,BAHIA BLANCA,BAHIA BLANCA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-62.39578,-38.6877]}",0101000020E6100000983446EBA8324FC0C7BAB88D065843C0
TOTAL AUSTRAL SOCIEDAD ANONIMA (SUCURSAL ARGENTINA),30569719344,"CAÑADON ALFA, TIERRA DEL FUEGO",TOTAL AUSTRAL SOCIEDAD ANONIMA (SUCURSAL ARGENTINA)|,RUTA NACIONAL 3 N/KM 2671 -PLANTA CAÑADON ALFA-,RIO GRANDE,RIO GRANDE,TIERRA DEL FUEGO,"{""type"":""Point"",""coordinates"":[-68.56422338,-52.73958311]}",0101000020E6100000452F613C1C2451C0DE0FCBA8AA5E4AC0
TRANSPORTADORA DE GAS DEL SUR S.A.,30657862068,"PUERTO GALVAN, BAHIA BLANCA",TRANSPORTADORA DEL GAS DEL SUR S.A.|TOTAL AUSTRAL SOCIEDAD ANONIMA (SUCURSAL ARGENTINA)|PAN AMERICAN SUR S.A.|GRANEL GAS SRL (LPG Y DERIVADOS SRL)|,AV 18 DE JULIO N/KM -PLANTA GALVAN-,BAHIA BLANCA,BAHIA BLANCA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-62.2975,-38.77306]}",0101000020E6100000AE47E17A14264FC042EC4CA1F36243C0
YPF SOCIEDAD ANONIMA,30546689979,DOCK SUD,YPF SOCIEDAD ANONIMA|AXION ENERGY ARGENTINA SA|ENERGÍA ARGENTINA S.A.|,GENOVA Y CANAL N/KM ,DOCK SUD,AVELLANEDA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.33816,-34.64703]}",0101000020E61000005E68AED3482B4DC0F4C308E1D15241C0
PETROKEN PETROQUIMICA ENSENADA SA,30626427258,ENSENADA PETROKEN,GRANEL GAS SRL (LPG Y DERIVADOS SRL)|PETROKEN PETROQUÍMICA ENSENADA S.A.|AXION ENERGY ARGENTINA SA|,AVENIDA VERGARA N/KM 2.7,ENSENADA,ENSENADA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-57.927426,-34.885423]}",0101000020E6100000E4BA29E5B5F64CC02810768A557141C0
CARBOCLOR SA,30504249227,CAMPANA CARBOCLOR,CARBOCLOR SA|AXION ENERGY ARGENTINA SA|,LARRABURE CNEL D A N/KM 174,CAMPANA,CAMPANA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.936837,-34.152664]}",0101000020E610000064575A46EA774DC066A3737E8A1341C0
YPF SOCIEDAD ANONIMA,30546689979,"BELGRANO, LA MATANZA",YPF SOCIEDAD ANONIMA|,CROVARA INTE E J N/KM 5299,SAN JUSTO,LA MATANZA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.546786,-34.704573]}",0101000020E610000090F46915FD454DC08352B4722F5A41C0
PETROLERA LF COMPANY SRL,30709551163,"LAGO FUEGO, TIERRA DEL FUEGO",PETROLERA LF COMPANY SRL|,RUTA NACIONAL 3 N/KM 2705 -LAGO FUEGO-,RIO GRANDE,RIO GRANDE,TIERRA DEL FUEGO,"{""type"":""Point"",""coordinates"":[-67.5315999249628,-53.9693279083104]}",0101000020E61000005D11B1BB05E250C089A5D8EF12FC4AC0
I.P. S.A.,30612323522,IPSA(CAMPANA),I.P. S.A.|GRANEL GAS SRL (LPG Y DERIVADOS SRL)|JEB ENERGÍA SRL|,RUTA NACIONAL 9 N/KM 79.5 Y CAPILLA DEL SEÑOR,CAMPANA,CAMPANA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.997822,-34.177067]}",0101000020E61000005A9D9CA1B87F4DC0B519A721AA1641C0
PETROBRAS ARGENTINA S.A.,30504077078,BARDA LAS VEGAS,PETROBRAS ARGENTINA S.A.|,RUTA 5 N/KM 120 -BARDA LAS VEGAS-,RIO GALLEGOS,GUER AIKE,SANTA CRUZ,"{""type"":""Point"",""coordinates"":[-70.460419,-51.241398]}",0101000020E610000040DD4081779D51C0EFA83121E69E49C0
YPF SOCIEDAD ANONIMA,30546689979,LA PLATA,YPF SOCIEDAD ANONIMA|,BARADERO N/KM S/N,LA PLATA,LA PLATA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-57.901135,-34.873485]}",0101000020E6100000F623456458F34CC0F645425BCE6F41C0
PETROBRAS ARGENTINA S.A.,30504077078,CHIMEN AIKE,PETROBRAS ARGENTINA S.A.|,RUTA NACIONAL 3 N/KM 2620 - PLANTA CHIMEN AIKE-,RIO GALLEGOS,GUER AIKE,SANTA CRUZ,"{""type"":""Point"",""coordinates"":[-69.578719,-51.249678]}",0101000020E6100000BAA46ABB096551C0EE43DE72F59F49C0
TOTAL AUSTRAL SOCIEDAD ANONIMA (SUCURSAL ARGENTINA),30569719344,PICHANA,TOTAL AUSTRAL SOCIEDAD ANONIMA (SUCURSAL ARGENTINA)|,YACIMIENTO AGUADA PICHANA N/KM ,AÑELO,AÑELO,NEUQUÉN,"{""type"":""Point"",""coordinates"":[-69.16072,-38.39052]}",0101000020E61000000AF4893C494A51C08B37328FFC3143C0
TOTAL AUSTRAL SOCIEDAD ANONIMA (SUCURSAL ARGENTINA),30569719344,SAN ROQUE,TOTAL AUSTRAL SOCIEDAD ANONIMA (SUCURSAL ARGENTINA)|,YACIMIENTO SAN ROQUE N/KM ,AÑELO,AÑELO,NEUQUÉN,"{""type"":""Point"",""coordinates"":[-68.85272,-38.04915]}",0101000020E61000004A29E8F6923651C0984C158C4A0643C0
CAMUZZI GAS DEL SUR S.A.,30657864427,CAÑADON SECO,CAMUZZI GAS DEL SUR S.A.|,RUTA N º 12 N/KM 15,CAÑADON SECO,DESEADO,SANTA CRUZ,"{""type"":""Point"",""coordinates"":[-67.625485,-46.560176]}",0101000020E6100000DEC83CF207E850C08600E0D8B34747C0
